0
100, 0, 0
200, 0, 0
300, 0, 1001
400, 2180, 0
500, 0, 997
600, 2314, 2004
700, 2149, 4882
800, 998, 6414
900, 1996, 7297
1000, 4968, 9796
1100, 9190, 2712
1200, 7989, 11946
1300, 1002, 7427
1400, 8555, 14248
1500, 10861, 16083
1600, 998, 16728
1700, 12408, 14695
1800, 13169, 15848
1900, 20591, 31797
2000, 11622, 24461
2100, 11168, 11553
2200, 12554, 16601
2300, 13316, 16663
2400, 11295, 18378
2500, 9240, 19460
2600, 17768, 30147
2700, 16884, 22724
2800, 40481, 39854
2900, 13555, 8328
3000, 13709, 9485
3100, 2612, 18059
3200, 16616, 23832
3300, 16853, 31280
3400, 18537, 37872
3500, 28166, 36468
3600, 33043, 45909
3700, 35985, 49890
3800, 33278, 53233
3900, 39607, 54390
4000, 39978, 56107
4100, 41931, 61240
4200, 39976, 44530
4300, 35282, 50609
4400, 40158, 54485
4500, 42379, 54136
4600, 50554, 65076
4700, 42130, 69367
4800, 48010, 75789
4900, 46740, 71670
5000, 55745, 73927
5100, 57114, 77077
5200, 54059, 87881
5300, 63583, 92872
5400, 64490, 95680
5500, 61868, 90046
5600, 47526, 72622
5700, 61662, 65853
5800, 41932, 55373
5900, 68182, 103904
6000, 70422, 116248
6100, 80199, 120197
6200, 77914, 115381
6300, 87493, 123787
6400, 78865, 80842
6500, 84322, 112592
6600, 69027, 144748
6700, 98744, 137045
6800, 103836, 109719
6900, 104129, 140537
7000, 114389, 149039
7100, 117746, 164562
7200, 116725, 157783
7300, 122938, 166264
7400, 120399, 112635
7500, 77360, 126050
7600, 129979, 157331
7700, 138801, 144750
7800, 107798, 148055
7900, 121971, 184437
8000, 154870, 155847
8100, 102537, 182274
8200, 153067, 206844
8300, 143462, 147147
8400, 156685, 229383
8500, 161990, 223894
8600, 158700, 220970
8700, 127976, 237287
8800, 161277, 147827
8900, 146031, 259862
9000, 177823, 206436
9100, 192513, 214898
9200, 135749, 186180
9300, 171396, 254980
9400, 122399, 248444
9500, 156616, 189985
9600, 201809, 199967
9700, 209569, 296522
9800, 204736, 304173
