100, 0, 0
200, 0, 0
300, 0, 0
400, 0, 0
500, 0, 0
600, 0, 0
700, 0, 0
800, 0, 0
900, 0, 1000
1000, 961, 998
1100, 0, 0
1200, 0, 1026
1300, 0, 0
1400, 0, 999
1500, 0, 495
1600, 1010, 0
1700, 0, 0
1800, 982, 0
1900, 0, 0
2000, 975, 1001
2100, 960, 0
2200, 1022, 0
2300, 776, 983
2400, 876, 808
2500, 1001, 0
2600, 0, 0
2700, 0, 1002
2800, 1978, 979
2900, 995, 1011
3000, 1425, 353
3100, 998, 602
3200, 998, 884
3300, 1874, 1002
3400, 752, 1000
3500, 1272, 1039
3600, 1061, 1092
3700, 941, 1037
3800, 0, 998
3900, 1037, 1573
4000, 1306, 2001
4100, 1007, 1010
4200, 789, 1040
4300, 1033, 555
4400, 1000, 1038
4500, 2004, 1374
4600, 3000, 2039
4700, 1165, 2038
4800, 1435, 2006
4900, 1995, 2001
5000, 1997, 2357
5100, 1997, 1647
5200, 1257, 2001
5300, 1212, 2033
5400, 1778, 2040
5500, 992, 1054
5600, 1037, 1036
5700, 2117, 2080
5800, 2030, 998
5900, 1907, 1995
6000, 1003, 1994
6100, 1004, 2033
6200, 2011, 4009
6300, 2048, 2583
6400, 2999, 3006
6500, 2466, 4856
6600, 7585, 3087
6700, 2756, 5202
6800, 2779, 1007
6900, 2987, 3991
7000, 2980, 3973
7100, 3971, 4132
7200, 2995, 4305
7300, 4012, 3986
7400, 4002, 3822
7500, 3001, 3999
7600, 3997, 4077
7700, 0, 1000
7800, 3973, 995
7900, 4423, 2987
8000, 3876, 3476
8100, 1163, 1000
8200, 3616, 996
8300, 4223, 2998
8400, 4676, 4570
8500, 2789, 4434
8600, 2249, 1000
8700, 3103, 0
8800, 2698, 2976
8900, 4137, 1416
9000, 2941, 5151
9100, 3553, 5364
9200, 3883, 1004
9300, 2491, 1988
9400, 2251, 1998
9500, 4923, 3539
9600, 3005, 2113
9700, 3096, 1004
9800, 2945, 2982
9900, 3367, 2250
10000, 1692, 2004
10100, 3357, 1595
10200, 2397, 1000
10300, 2365, 0
10400, 2796, 1038
